CLIENTE;CIU DESTINO;CAJAS;PESO;VOLUMEN;COSTO;MES;FECHA B;DIA
JMC;BARRANQUILLA;1;10;0,06;188734;JULIO;24/07/2025;24
JMC;BOGOTÁ;1;10;0,09;255390;JULIO;9/07/2025;9
ITALO;CALI;1;10;0,15;124074;JULIO;22/07/2025;22
ITALO;CHIÁ;1;10;0,15;183951;JULIO;23/07/2025;23
ITALO;TABIO;1;10;0,15;312356;JULIO;25/07/2025;25
ITALO;MEDELLÍN;1;10;0,12;407671;AGOSTO;4/08/2025;4
ITALO;CÚCUTA;1;10;0,15;443507;JULIO;31/07/2025;31
ITALO;BOGOTÁ;1;10;0,12;458327;JULIO;24/07/2025;24
ITALO;BOGOTÁ;1;54;0,85;804627;AGOSTO;8/08/2025;8
ITALO;CALI;1;35;0,9;938734;AGOSTO;1/08/2025;1
ITALO;CARTAGENA;1;16;0,85;1510905;AGOSTO;8/08/2025;8
ITALO;CARTAGENA;1;30;1,2;1668862;JULIO;16/07/2025;16
ITALO;BOGOTÁ;1;40;0,85;1751211;JULIO;10/07/2025;10
ITALO;CALI;1;15;0,2;2814480;JULIO;9/07/2025;9
ITALO;CHIÁ;1;10;0,1;5926547;JULIO;15/07/2025;15
ITALO;TABIO;4;15;0,85;11551873;AGOSTO;4/08/2025;4
VOLVO;MEDELLÍN;1;10;0,06;49586;JUNIO;17/06/2025;17
VOLVO;CÚCUTA;1;10;0,06;57218;FEBRERO;24/02/2025;24
ITALO;BOGOTÁ;1;10;0,06;61845;ABRIL;24/04/2025;24
ITALO;BOGOTÁ;1;10;0,15;100000;JULIO;16/07/2025;16
ITALO;CALI;1;10;0,06;106777;AGOSTO;11/08/2025;11
ITALO;CARTAGENA;1;10;0,3;107529;MAYO;19/05/2025;19
VOLVO;BARRANQUILLA;1;10;0,06;108933;MAYO;20/05/2025;20
ITALO;BOGOTÁ;1;10;0,09;161627;JULIO;7/07/2025;7
VOLVO;CALI;1;10;0,06;171395;ABRIL;15/04/2025;15
VOLVO;CHIÁ;1;10;0,06;173680;MARZO;25/03/2025;25
ITALO;TABIO;1;10;0,06;174386;ABRIL;29/04/2025;29
VOLVO;MEDELLÍN;1;10;0,08;188703;ABRIL;7/04/2025;7
VOLVO;CÚCUTA;1;10;0,1;224329;MARZO;27/03/2025;27
VOLVO;BOGOTÁ;1;10;0,09;238387;MARZO;12/03/2025;12
ITALO;BOGOTÁ;2;20;0,24;242478;MARZO;12/03/2025;12
VOLVO;CALI;1;10;0,06;245966;JUNIO;5/06/2025;5
ITALO;CARTAGENA;1;10;0,06;255085;JUNIO;6/06/2025;6
VOLVO;BARRANQUILLA;1;10;0,15;255931;ABRIL;16/04/2025;16
ITALO;BARRANQUILLA;1;10;0,18;260987;ABRIL;16/04/2025;16
ITALO;BOGOTÁ;1;10;0,06;278488;AGOSTO;4/08/2025;4
VOLVO;CALI;1;10;0,09;291179;MARZO;17/03/2025;17
ITALO;CHIÁ;1;10;0,09;309679;JUNIO;13/06/2025;13
ITALO;TABIO;1;12;0,12;316449;JUNIO;25/06/2025;25
ITALO;MEDELLÍN;1;10;0,15;330000;AGOSTO;8/08/2025;8
VOLVO;CÚCUTA;1;10;0,1;338997;ABRIL;7/04/2025;7
VOLVO;BOGOTÁ;1;10;0,15;368094;MARZO;6/03/2025;6
ITALO;BOGOTÁ;1;10;0,1;396418;MAYO;15/05/2025;15
ITALO;CALI;3;30;0,39;404130;MARZO;11/03/2025;11
ITALO;CARTAGENA;1;10;0,12;419536;JULIO;21/07/2025;21
VOLVO;BARRANQUILLA;1;10;0,06;419698;JULIO;2/07/2025;2
ITALO;BARRANQUILLA;1;10;0,15;461316;JUNIO;12/06/2025;12
ITALO;BOGOTÁ;1;10;0,09;509663;MAYO;5/05/2025;5
VOLVO;CALI;1;10;0,12;516712;JUNIO;18/06/2025;18
ITALO;CHIÁ;1;20;0,12;554746;JUNIO;16/06/2025;16
ITALO;BOGOTÁ;1;20;0,18;554746;JUNIO;18/06/2025;18
ITALO;CALI;1;10;0,1;568802;ABRIL;21/04/2025;21
ITALO;CHIÁ;1;10;0,09;569123;MAYO;6/05/2025;6
ITALO;TABIO;1;18;0,12;609955;ABRIL;24/04/2025;24
VOLVO;MEDELLÍN;1;10;0,2;610273;ABRIL;28/04/2025;28
ITALO;CÚCUTA;1;10;0,09;611506;JUNIO;10/06/2025;10
ITALO;BOGOTÁ;1;10;0,12;611506;JULIO;24/07/2025;24
ITALO;BOGOTÁ;1;10;0,12;611508;MAYO;21/05/2025;21
ITALO;CALI;1;10;0,09;648582;ABRIL;29/04/2025;29
ITALO;CARTAGENA;1;15;0,2;656013;AGOSTO;1/08/2025;1
VOLVO;CÚCUTA;1;10;0,23;656247;MAYO;20/05/2025;20
ITALO;CÚCUTA;1;10;0,15;668024;JUNIO;4/06/2025;4
